,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
34,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,92,0.621,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,5
35,Lose Somebody,Golden Hour,Kygo,2020-05-29,199549,78,0.58,0.344,0.58,0.586,0.0,0.0755,-6.883,0.0357,147.988,4
36,Sour Candy (with BLACKPINK),Chromatica,Lady Gaga,2020-05-29,157706,86,0.752,0.0604,0.752,0.87,1.12e-05,0.489,-3.812,0.0623,120.006,4
37,Tusa,Tusa,KAROL G,2019-11-07,200960,92,0.803,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,101.085,4
38,Life Is Good (feat. Drake),High Off Life,Future,2020-05-15,237918,79,0.795,0.067,0.795,0.574,0.0,0.15,-6.903,0.487,142.053,4
39,Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-28,172127,92,0.86,0.021,0.86,0.758,6.54e-05,0.344,-5.16,0.0695,97.014,4
40,Be Kind (with Halsey),Be Kind (with Halsey),Marshmello,2020-05-01,172761,91,0.63,0.00776,0.63,0.633,0.0,0.0541,-7.088,0.0457,93.995,4
41,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,91,0.598,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4
42,The Bigger Picture,The Bigger Picture,Lil Baby,2020-06-12,252728,77,0.59,0.0127,0.59,0.618,0.0,0.244,-5.756,0.334,96.459,3
43,Adore You,Fine Line,Harry Styles,2019-12-13,207133,87,0.676,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,4
44,Hasta Que Dios Diga,Emmanuel,Anuel AA,2020-05-29,246000,88,0.691,0.464,0.691,0.765,3.29e-06,0.203,-4.727,0.111,174.021,4
45,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,92,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4
46,Safaera,YHLQMDLG,Bad Bunny,2020-02-28,295176,92,0.607,0.0103,0.607,0.829,0.0,0.107,-4.074,0.379,96.172,4
47,Boss Bitch,Boss Bitch,Doja Cat,2020-01-23,134239,92,0.707,0.127,0.707,0.955,0.0,0.202,-4.593,0.222,125.989,4
48,Memories,Memories,Maroon 5,2019-09-20,189486,91,0.764,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019,4
49,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,83,0.759,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,116.967,4
